user_id,item_id,rating,review_text,date
user_0001,item_0206,1,Chất lượng kém,2024-10-28
user_0001,item_0203,4,"Sản phẩm tốt, rất hài lòng",2025-05-07
user_0001,item_0112,5,"Sản phẩm tốt, rất hài lòng",2025-01-17
user_0001,item_0054,4,Chất lượng vượt mong đợi,2025-07-19
user_0001,item_0321,4,"Đáng tiền, mua lại",2025-07-18
user_0001,item_0220,5,"Sản phẩm tốt, rất hài lòng",2023-12-24
user_0001,item_0166,5,"Sản phẩm tốt, rất hài lòng",2024-01-26
user_0001,item_0327,1,Giao hàng hỏng,2023-01-08
user_0001,item_0465,5,"Sản phẩm tốt, rất hài lòng",2025-01-26
user_0001,item_0198,4,"Đáng tiền, mua lại",2025-09-13
user_0001,item_0425,4,Chất lượng vượt mong đợi,2023-08-14
user_0001,item_0433,3,"Bình thường, ổn",2024-10-04
user_0001,item_0467,1,Chất lượng kém,2024-09-10
user_0001,item_0234,3,"Bình thường, ổn",2024-07-17
user_0001,item_0408,3,"Bình thường, ổn",2025-04-29
user_0001,item_0043,1,Giao hàng hỏng,2023-03-06
user_0001,item_0056,4,"Sản phẩm tốt, rất hài lòng",2025-07-29
user_0001,item_0112,4,"Đáng tiền, mua lại",2024-02-23
user_0001,item_0165,4,"Đáng tiền, mua lại",2024-12-19
user_0001,item_0210,4,"Đáng tiền, mua lại",2023-04-02
user_0001,item_0244,4,"Sản phẩm tốt, rất hài lòng",2024-01-12
user_0001,item_0427,3,"Bình thường, ổn",2024-07-27
user_0001,item_0264,4,"Sản phẩm tốt, rất hài lòng",2024-01-26
user_0001,item_0470,1,"Không như mô tả, thất vọng",2024-10-27
user_0001,item_0290,1,"Không như mô tả, thất vọng",2024-01-08
user_0001,item_0081,4,"Sản phẩm tốt, rất hài lòng",2023-08-09
user_0001,item_0138,3,"Bình thường, ổn",2024-09-17
user_0001,item_0278,5,"Đáng tiền, mua lại",2023-09-10
user_0001,item_0122,5,"Sản phẩm tốt, rất hài lòng",2024-01-20
user_0001,item_0404,4,Chất lượng vượt mong đợi,2025-09-23
user_0001,item_0006,5,"Sản phẩm tốt, rất hài lòng",2023-05-23
user_0001,item_0267,5,"Sản phẩm tốt, rất hài lòng",2024-07-08
user_0001,item_0266,5,"Đáng tiền, mua lại",2024-02-14
user_0001,item_0295,4,"Đáng tiền, mua lại",2025-04-22
user_0001,item_0359,4,Chất lượng vượt mong đợi,2024-07-19
