,,,,,,,
Tên công ty,Công ty Cổ phần Dược phẩm Imexpharm,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,07/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
07/03/2025,46700,47100,46550,46600,0,0,113300
06/03/2025,46250,46800,45800,46600,350,0.00756756756756749,69700
05/03/2025,47000,47200,46200,46250,-800,-0.0170031880977684,277000
04/03/2025,47300,47400,46900,47050,-350,-0.0073839662447257,175900
03/03/2025,48400,48400,47350,47400,-500,-0.0104384133611691,187300
28/02/2025,47950,47950,47100,47900,0,0,159700
27/02/2025,48000,48300,47650,47900,-100,-0.00208333333333333,99400
26/02/2025,47750,48500,47750,48000,250,0.00523560209424079,192900
25/02/2025,48100,48450,47550,47750,-350,-0.00727650727650731,149400
24/02/2025,48500,48600,47650,48100,-400,-0.00824742268041234,193000
21/02/2025,49450,49750,48400,48500,-750,-0.0152284263959391,188700
20/02/2025,47850,49300,47600,49250,1250,0.0260416666666667,213700
19/02/2025,48700,50000,47000,48000,-850,-0.0174002047082907,564700
18/02/2025,49000,49400,48550,48850,50,0.00102459016393452,137900
17/02/2025,48300,50500,48300,48800,700,0.0145530145530146,526500
14/02/2025,48500,48900,47650,48100,200,0.00417536534446761,300000
13/02/2025,48100,48800,47650,47900,-100,-0.00208333333333333,243300
12/02/2025,48800,48900,47800,48000,-600,-0.0123456790123457,118100
11/02/2025,46500,49700,46500,48600,2150,0.0462863293864371,966900
10/02/2025,47250,47300,46100,46450,-800,-0.0169312169312169,162400
07/02/2025,46950,48300,46750,47250,250,0.00531914893617014,253100
06/02/2025,45350,47000,44800,47000,2000,0.0444444444444445,204300
05/02/2025,45650,45650,44000,45000,-200,-0.00442477876106195,104600
04/02/2025,44600,45350,44600,45200,600,0.0134529147982063,86100
03/02/2025,44000,44600,43700,44600,400,0.00904977375565608,50300
24/01/2025,44800,44800,44000,44200,-600,-0.0133928571428571,75600
23/01/2025,45600,45600,44000,44800,-400,-0.00884955752212391,46700
